journal_id,name,publisher,website,p_issn,e_issn,subject_area,accreditation,scopus_indexed,garuda_indexed,Impact,H5-index,Citations 5yr,Citations
11928,"Ascarya: Journal of Islamic Science, Culture and Social Studies",Perkumpulan Alumni dan Santri Mahyajatul Qurro,http://journal.ascarya.or.id/index.php/iscs,27985083,27754243,,S1Accredited,True,True,"2,18",11,549,552
806,Jurnal Keperawatan Padjadjaran,Universitas Padjadjaran,http://jkp.fkep.unpad.ac.id/index.php/jkp,23385324,24427276,"Health, Science",S1Accredited,True,True,"2,18",31,3.409,3.768
4382,Indonesian Journal of Urban and Environmental Technology,Universitas Trisakti,https://e-journal.trisakti.ac.id/index.php/urbanenvirotech,25799150,25799207,,S1Accredited,False,True,"2,17",12,678,768
898,Journal of Islamic Architecture,Jurusan Teknik Arsitektur UIN Maulana Malik Ibrahim Malang,http://ejournal.uin-malang.ac.id/index.php/JIA,|,23564644,"Humanities, Art, Engineering",S1Accredited,True,True,"2,07",18,1.613,2.058
1278,Journal of the Civil Engineering Forum,Universitas Gadjah Mada,https://jurnal.ugm.ac.id/v3/jcef/,25811037,25495925,"Social, Engineering",S1Accredited,False,True,"2,06",14,1.236,1.289
4049,The Indonesian Journal of Public Health,Universitas Airlangga,https://e-journal.unair.ac.id/IJPH/index,18297005,25408836,Health,S1Accredited,True,True,"2,01",27,3.521,4.849
1170,JURNAL INFOTEL,LPPM Institut Teknologi Telkom Purwokerto,https://ejournal.ittelkom-pwt.ac.id/index.php/infotel,20853688,24600997,"Science, Engineering",S1Accredited,False,True,"2,00",21,2.213,3.265
1246,Al-Jabar: Jurnal Pendidikan Matematika,Prodi Pendidikan Matematika UIN Raden Intan Lampung,http://ejournal.radenintan.ac.id/index.php/al-jabar/issue/archive,20865872,25407562,Education,S1Accredited,False,True,"1,97",43,7.233,10.028
727,Jurnal Ners,Fakultas Keperawatan Universitas Airlangga,http://e-journal.unair.ac.id/index.php/JNERS/,18583598,25025791,Health,S1Accredited,True,True,"1,94",26,5.059,6.593
12310,Journal of Public Health and Pharmacy,Pusat Pengembangan Teknologi Informasi Dan Jurnal,https://jurnal.unismuhpalu.ac.id/index.php/jphp/index,_,27754952,,S1Accredited,True,True,"1,93",7,297,306
3974,The Indonesian Journal Of Occupational Safety and Health,Surabaya: Fakultas Kesehatan Masyarakat Universitas Airlangga,https://e-journal.unair.ac.id/IJOSH/issue/archive,2301,25407872,Health,S1Accredited,True,False,"1,88",31,4.924,6.402
672,Jurnal Manajemen Hutan Tropika,Departemen Manajemen Hutan Fakultas Kehutanan IPB-Rumah Akademisi Kehutanan Indonesia,http://journal.ipb.ac.id/index.php/jmht,20870469,20892063,Agriculture,S1Accredited,True,True,"1,83",23,2.806,3.802
13683,Journal of Coaching and Sports Science,CV Foundae,https://journal.foundae.com/index.php/jcss,29631459,29631483,,S1Accredited,False,True,"1,80",6,98,98
6008,"Canrea Journal: Food Technology, Nutritions, and Culinary Journal",Program Studi Ilmu & Teknologi Pangan Universitas Hasanuddin,http://agritech.unhas.ac.id/ojs/index.php/canrea/index,|,26219468,,S1Accredited,True,True,"1,80",15,1.161,1.235
2122,JURNAL ILMIAH PENDIDIKAN FISIKA AL BIRUNI,Universitas Islam Negeri Raden Intan Lampung,http://ejournal.radenintan.ac.id/index.php/al-biruni/index,23031832,2503023X,"Science, Education, Engineering",S1Accredited,False,True,"1,80",37,5.554,7.865
6350,Communication in Biomathematical Sciences,Indonesian Biomathematical Society,http://journals.itb.ac.id/index.php/cbms,0,25492896,,S1Accredited,True,True,"1,79",13,547,638
855,Economic Journal of Emerging Markets,Universitas Islam Indonesia,http://journal.uii.ac.id/index.php/JEP,20863128,2502180x,Economy,S1Accredited,False,True,"1,79",26,2.744,4.013
